# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
resource_skol_25_gold_silver_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_skol_5_bronze_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_soapstone_talc_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_standard_mag_3_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_cable_6mm_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_canister_20l_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_frame_rib_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_heels_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_rivets_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_steel_ruler_500mm_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_sulfuric_acid_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_surgical_silk_suture_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_teak_beam_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_cardboard_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_graphite_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_paraffin_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_pressure_gauge_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_rubber_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_silver_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_tin_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_technical_tweezers_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_tin_bronze_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_underwear_knit_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_vegetable_oil_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
antigrav_ingot_v01,ROAD TO SECUND,10,50,0.02,None,y,y
mesium_canister_v01,ROAD TO SECUND,10,50,0.02,None,y,y
resource_acoustic_felt_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_activated_charcoal_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_antigrav_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_antigrav_chips_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_asbestos_sheet_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_aviation_plywood_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_balaclava_mask_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_beeswax_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_borosilicate_glass_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_brass_sheet_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_butter_pancakes_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_canvas_apron_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_canvas_tarpaulin_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cast_iron_bollard_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cast_iron_iron_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cast_iron_pot_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cast_iron_weight_set_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_caustic_alkali_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_colored_glass_plumb_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_copper_wire_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_cover_tarp_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_dry_white_table_wine_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_duralumin_aluminum_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_engineers_square_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_farm_timber_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_filter_grade_silk_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_fireproof_ceramics_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_glass_vial_50ml_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_gmag_7_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_gmag_9_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_gmag_grease_s_4_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_granulated_sugar_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_gray_cast_iron_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_guild_cloth_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_imported_olive_oil_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_industrial_mag_5_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_lightweight_canvas_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mag_graphite_brushes_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mag_technical_passport_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_oil_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_mountain_wool_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_multilayer_felt_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_oak_veneer_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_plumb_glass_writer_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_portable_mag_1_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_poster_caution_mezium_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_pressed_cork_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_primium_forged_steel_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_raw_antigrav_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_raw_mezium_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_red_table_wine_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_refined_mezium_fuel_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_rod_antigrav_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_round_porthole_glass_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_salted_butter_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_sheet_antigrav_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_shellac_varnish_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_skol_10_silver_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_skol_25_gold_silver_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_skol_5_bronze_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_soapstone_talc_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_standard_mag_3_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_cable_6mm_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_canister_20l_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_frame_rib_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_heels_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_rivets_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_steel_ruler_500mm_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_sulfuric_acid_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_surgical_silk_suture_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_teak_beam_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_cardboard_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_graphite_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_paraffin_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_pressure_gauge_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_rubber_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_silver_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_tin_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_technical_tweezers_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_tin_bronze_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_underwear_knit_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,ROAD TO SECUND,10,50,0.02,None,y,y
resource_vegetable_oil_box,ROAD TO SECUND,10,50,0.02,None,y,y
antigrav_ingot_v01,ROAD TO TERTIUS,10,50,0.02,None,y,y
mesium_canister_v01,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_acoustic_felt_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_activated_charcoal_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_antigrav_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_antigrav_chips_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_asbestos_sheet_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_aviation_plywood_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_balaclava_mask_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_beeswax_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_borosilicate_glass_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_brass_sheet_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_butter_pancakes_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_canvas_apron_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_canvas_tarpaulin_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cast_iron_bollard_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cast_iron_iron_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cast_iron_pot_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cast_iron_weight_set_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_caustic_alkali_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_colored_glass_plumb_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_copper_wire_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_cover_tarp_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_dry_white_table_wine_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_duralumin_aluminum_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_engineers_square_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_farm_timber_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_filter_grade_silk_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_fireproof_ceramics_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_glass_vial_50ml_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_gmag_7_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_gmag_9_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_gmag_grease_s_4_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_granulated_sugar_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_gray_cast_iron_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_guild_cloth_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_imported_olive_oil_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_industrial_mag_5_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_lightweight_canvas_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mag_graphite_brushes_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mag_technical_passport_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_oil_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_mountain_wool_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_multilayer_felt_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_oak_veneer_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_plumb_glass_writer_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_portable_mag_1_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_poster_caution_mezium_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_pressed_cork_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_primium_forged_steel_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_raw_antigrav_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_raw_mezium_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_red_table_wine_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_refined_mezium_fuel_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_rod_antigrav_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_round_porthole_glass_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_salted_butter_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_sheet_antigrav_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_shellac_varnish_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_skol_10_silver_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_skol_25_gold_silver_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_skol_5_bronze_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_soapstone_talc_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_standard_mag_3_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_cable_6mm_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_canister_20l_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_frame_rib_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_heels_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_rivets_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_steel_ruler_500mm_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_sulfuric_acid_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_surgical_silk_suture_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_teak_beam_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_cardboard_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_graphite_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_paraffin_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_pressure_gauge_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_rubber_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_silver_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_tin_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_technical_tweezers_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_tin_bronze_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_underwear_knit_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,ROAD TO TERTIUS,10,50,0.02,None,y,y
resource_vegetable_oil_box,ROAD TO TERTIUS,10,50,0.02,None,y,y

# block=exchangeRates
tradeItemId,inventoryItemName,warehouseQty,inventoryQty,displayName
resource_mezium_box,Mezium,1,100,Mezium Box
resource_antigrav_box,Antigrav,1,100,Antigrav Box
resource_raw_antigrav_box,Raw Antigrav,1,100,Raw Antigrav Box
resource_purified_antigrav_ag_1_box,Purified Antigrav AG-1,1,100,Purified Antigrav AG-1 Box
resource_technical_antigrav_ag_2_box,Technical Antigrav AG-2,1,100,Technical Antigrav AG-2 Box
resource_sheet_antigrav_box,Sheet Antigrav,1,100,Sheet Antigrav Box
resource_rod_antigrav_box,Rod Antigrav,1,100,Rod Antigrav Box
resource_antigrav_steel_ags_40_box,Antigrav Steel AGS-40,1,100,Antigrav Steel AGS-40 Box
resource_antigrav_bronze_agb_12_box,Antigrav Bronze AGB-12,1,100,Antigrav Bronze AGB-12 Box
resource_antigrav_brass_agl_8_box,Antigrav Brass AGL-8,1,100,Antigrav Brass AGL-8 Box
resource_antigrav_chips_box,Antigrav Chips,1,100,Antigrav Chips Box
resource_raw_mezium_box,Raw Mezium,1,100,Raw Mezium Box
resource_stabilized_mezium_m_1_box,Stabilized Mezium M-1,1,100,Stabilized Mezium M-1 Box
resource_mezium_oil_box,Mezium Oil,1,100,Mezium Oil Box
resource_refined_mezium_fuel_box,Refined Mezium Fuel,1,100,Refined Mezium Fuel Box
resource_mezium_mag_concentrate_box,Mezium MAG Concentrate,1,100,Mezium MAG Concentrate Box
resource_mezium_neutralizer_n_7_box,Mezium Neutralizer N-7,1,100,Mezium Neutralizer N-7 Box
resource_primium_forged_steel_box,Primium Forged Steel,1,100,Primium Forged Steel Box
resource_galvanized_sheet_steel_box,Galvanized Sheet Steel,1,100,Galvanized Sheet Steel Box
resource_gray_cast_iron_box,Gray Cast Iron,1,100,Gray Cast Iron Box
resource_copper_wire_box,Copper Wire,1,100,Copper Wire Box
resource_brass_sheet_box,Brass Sheet,1,100,Brass Sheet Box
resource_tin_bronze_box,Tin Bronze,1,100,Tin Bronze Box
resource_duralumin_aluminum_box,Duralumin Aluminum,1,100,Duralumin Aluminum Box
resource_technical_tin_box,Technical Tin,1,100,Technical Tin Box
resource_technical_silver_box,Technical Silver,1,100,Technical Silver Box
resource_canvas_tarpaulin_box,Canvas Tarpaulin,1,100,Canvas Tarpaulin Box
resource_mountain_wool_box,Mountain Wool,1,100,Mountain Wool Box
resource_multilayer_felt_box,Multilayer Felt,1,100,Multilayer Felt Box
resource_filter_grade_silk_box,Filter-Grade Silk,1,100,Filter-Grade Silk Box
resource_lightweight_canvas_box,Lightweight Canvas,1,100,Lightweight Canvas Box
resource_underwear_knit_box,Underwear Knit,1,100,Underwear Knit Box
resource_guild_cloth_box,Guild Cloth,1,100,Guild Cloth Box
resource_farm_timber_box,Farm Timber,1,100,Farm Timber Box
resource_teak_beam_box,Teak Beam,1,100,Teak Beam Box
resource_aviation_plywood_box,Aviation Plywood,1,100,Aviation Plywood Box
resource_oak_veneer_box,Oak Veneer,1,100,Oak Veneer Box
resource_technical_cardboard_box,Technical Cardboard,1,100,Technical Cardboard Box
resource_sulfuric_acid_box,Sulfuric Acid,1,100,Sulfuric Acid Box
resource_caustic_alkali_box,Caustic Alkali,1,100,Caustic Alkali Box
resource_universal_solvent_ru_5_box,Universal Solvent RU-5,1,100,Universal Solvent RU-5 Box
resource_mezium_resistant_sealant_hm_200_box,Mezium-Resistant Sealant HM-200,1,100,Mezium-Resistant Sealant HM-200 Box
resource_gmag_grease_s_4_box,GMAG Grease S-4,1,100,GMAG Grease S-4 Box
resource_rigging_impregnation_pt_1_box,Rigging Impregnation PT-1,1,100,Rigging Impregnation PT-1 Box
resource_anti_corrosion_enamel_paint_box,Anti-Corrosion Enamel Paint,1,100,Anti-Corrosion Enamel Paint Box
resource_shellac_varnish_box,Shellac Varnish,1,100,Shellac Varnish Box
resource_borosilicate_glass_box,Borosilicate Glass,1,100,Borosilicate Glass Box
resource_fireproof_ceramics_box,Fireproof Ceramics,1,100,Fireproof Ceramics Box
resource_technical_graphite_box,Technical Graphite,1,100,Technical Graphite Box
resource_technical_rubber_box,Technical Rubber,1,100,Technical Rubber Box
resource_pressed_cork_box,Pressed Cork,1,100,Pressed Cork Box
resource_beeswax_box,Beeswax,1,100,Beeswax Box
resource_steel_helmet_with_clips_box,Steel Helmet with Clips,1,100,Steel Helmet with Clips Box
resource_steel_heels_box,Steel Heels,1,100,Steel Heels Box
resource_plumb_glass_writer_box,Plumb Glass Writer,1,100,Plumb Glass Writer Box
resource_steel_ruler_500mm_box,Steel Ruler 500mm,1,100,Steel Ruler 500mm Box
resource_engineers_square_box,Engineer's Square,1,100,Engineer's Square Box
resource_canvas_tape_measure_20m_box,Canvas Tape Measure 20m,1,100,Canvas Tape Measure 20m Box
resource_technical_pressure_gauge_box,Technical Pressure Gauge,1,100,Technical Pressure Gauge Box
resource_steel_rivets_box,Steel Rivets,1,100,Steel Rivets Box
resource_technical_tweezers_box,Technical Tweezers,1,100,Technical Tweezers Box
resource_cast_iron_weight_set_box,Cast Iron Weight Set,1,100,Cast Iron Weight Set Box
resource_buckwheat_porridge_with_butter_box,Buckwheat Porridge with Butter,1,100,Buckwheat Porridge with Butter Box
resource_salted_butter_box,Salted Butter,1,100,Salted Butter Box
resource_black_leaf_tea_primium_box,Black Leaf Tea Primium,1,100,Black Leaf Tea Primium Box
resource_red_table_wine_box,Red Table Wine,1,100,Red Table Wine Box
resource_dry_white_table_wine_box,Dry White Table Wine,1,100,Dry White Table Wine Box
resource_granulated_sugar_box,Granulated Sugar,1,100,Granulated Sugar Box
resource_vegetable_oil_box,Vegetable Oil,1,100,Vegetable Oil Box
resource_imported_olive_oil_box,Imported Olive Oil,1,100,Imported Olive Oil Box
resource_portable_mag_1_box,Portable MAG-1,1,100,Portable MAG-1 Box
resource_standard_mag_3_box,Standard MAG-3,1,100,Standard MAG-3 Box
resource_industrial_mag_5_box,Industrial MAG-5,1,100,Industrial MAG-5 Box
resource_gmag_7_box,GMAG-7,1,100,GMAG-7 Box
resource_gmag_9_box,GMAG-9,1,100,GMAG-9 Box
resource_mag_graphite_brushes_box,MAG Graphite Brushes,1,100,MAG Graphite Brushes Box
resource_surgical_silk_suture_box,Surgical Silk Suture,1,100,Surgical Silk Suture Box
resource_mezium_skin_neutralizer_box,Mezium Skin Neutralizer,1,100,Mezium Skin Neutralizer Box
resource_activated_charcoal_box,Activated Charcoal,1,100,Activated Charcoal Box
resource_steel_frame_rib_box,Steel Frame Rib,1,100,Steel Frame Rib Box
resource_seam_sealant_nm_300_box,Seam Sealant NM-300,1,100,Seam Sealant NM-300 Box
resource_steel_cable_6mm_box,Steel Cable 6mm,1,100,Steel Cable 6mm Box
resource_steel_climbing_carabiner_box,Steel Climbing Carabiner,1,100,Steel Climbing Carabiner Box
resource_cast_iron_bollard_box,Cast Iron Bollard,1,100,Cast Iron Bollard Box
resource_round_porthole_glass_box,Round Porthole Glass,1,100,Round Porthole Glass Box
resource_mag_technical_passport_box,MAG Technical Passport,1,100,MAG Technical Passport Box
resource_cast_iron_iron_box,Cast Iron Iron,1,100,Cast Iron Iron Box
resource_cast_iron_pot_box,Cast Iron Pot,1,100,Cast Iron Pot Box
resource_cast_iron_frying_pan_box,Cast Iron Frying Pan,1,100,Cast Iron Frying Pan Box
resource_steel_canister_20l_box,Steel Canister 20L,1,100,Steel Canister 20L Box
resource_glass_vial_50ml_box,Glass Vial 50ml,1,100,Glass Vial 50ml Box
resource_corrugated_cardboard_box_box,Corrugated Cardboard Box,1,100,Corrugated Cardboard Box Box
